word,freq
honey,39
star,107
renovate,2
refresh,1
brussels,15
local,63
cornbread,14
music,232
appropriate,5
vibe,182
alone,31
cozy,48
winter,22
sitting,49
inside,132
plan,31
afterward,3
expect,143
smell,31
admission,3
pastas,41
simple,64
tip,31
yet,117
done,126
delish,23
stars,169
confidence,1
hope,73
stay,41
eaten,100
ribs,130
mousse,14
halibut,41
large,126
walk,102
pick,85
way,320
give,276
pizzas,72
gusto,7
tuscan,3
light,105
roti,82
fairly,82
less,18
shells,5
nicest,37
slow,9
dollar,27
specials,117
dough,34
sooo,35
different,106
locations,30
friendliest,14
breakfast,421
hungover,3
fancy,94
checken,1
add,86
cheese,447
forget,57
excited,30
yummy,180
feeling,60
stuffed,58
mexican,52
mojitos,12
charlie,1
takes,39
pride,19
anything,173
greater,8
business,85
seeing,30
sleeves,1
working,55
balls,44
wall,46
ensure,13
product,16
delivered,33
passion,17
strongly,35
boat,11
goulash,4
consistency,11
herbs,9
condiments,9
helped,36
removing,4
itch,2
gypsy,3
thursday,25
may,108
easy,75
flat,6
alot,16
lots,285
need,210
waiting,71
peak,17
waiters,55
cannot,56
explain,19
hungry,56
glasses,15
app,45
spend,45
pumps,1
yummie,1
involved,4
thanks,56
absolutely,353
scallops,50
cracker,2
jack,12
coq,4
vin,6
alright,26
ask,196
healthy,154
hairy,1
armpit,1
cool,189
finally,37
understood,4
jerk,50
supremely,3
subtly,1
ackee,2
salt,30
peas,15
superb,87
though,253
caribbean,27
among,40
oil,50
fence,2
none,16
sampled,12
top,320
egg,140
update,10
rating,16
opinion,40
nova,10
era,3
portuguese,29
tarts,25
consistently,96
ones,62
box,40
use,94
bargaining,1
chips,131
girlfriend,37
pasta,295
wifes,1
japanese,53
queen,87
gracious,13
pumpkin,38
soups,64
started,75
agreed,15
originally,9
ny,18
partner,33
since,218
roasted,51
wrap,56
herbed,2
goat,60
bach,2
similar,16
curry,182
dish,269
smelled,15
tortilla,17
warmed,8
olives,27
beet,41
green,33
bean,33
knew,38
employees,24
hearty,48
strong,29
spices,26
cover,8
intrusive,2
chip,37
donuts,18
believe,81
years,144
downs,2
volcano,6
taste,362
buds,13
fair,129
quaint,38
lines,10
heard,71
seem,59
sold,14
refrigerators,1
shawarma,67
poke,28
macadamia,1
nuts,10
person,60
bannock,4
thumbs,34
lakeshore,3
mimico,1
new,210
khao,50
soi,28
massaman,8
pad,191
truly,102
inspired,9
french,77
polished,2
eyes,15
reasonable,160
extremely,103
latte,78
never,408
felt,99
restaurants,228
serving,82
sizes,51
reduced,2
regular,51
dose,2
muy,2
rica,2
comida,2
live,81
across,79
warmer,7
months,29
kickin,1
u,77
outside,59
tvs,11
catch,40
london,14
uk,2
borth,1
sugar,27
cane,4
hoisin,4
original,34
anywhere,47
yogurt,27
spiced,28
nut,14
granola,5
creamy,59
water,70
buffalo,21
balance,42
put,105
starbucks,23
coffee,640
reading,34
rampant,1
flavours,116
trio,9
antojito,1
tostadas,7
dons,1
flora,1
spice,68
pickled,20
onions,35
capital,1
rosarito,1
adobados,1
downside,15
slack,1
bill,41
seemed,48
eager,7
clear,8
lemon,55
lavender,9
milky,3
earl,2
fast,187
leaves,26
foods,69
two,321
cost,40
quick,283
